Id hecho,Vehículo_víctima,Sexo,Edad_víctima,Gravedad
LC-2019-0044799,Sd,M,48,Sd
LC-2019-0073192,Sd,F,71,Sd
LC-2019-0039585,Sd,M,37,Sd
LC-2019-0040743,Sd,F,29,Sd
LC-2019-0040917,Sd,F,47,Sd
LC-2019-0040935,Sd,M,18,Sd
LC-2019-0040966,Sd,M,SD,Sd
LC-2019-0040980,Sd,M,24,Sd
LC-2019-0041064,Sd,M,SD,Sd
LC-2019-0041141,Sd,M,60,Sd
LC-2019-0041311,Sd,M,45,Sd
LC-2019-0041398,Sd,F,SD,Sd
LC-2019-0041398,Sd,M,SD,Sd
LC-2019-0041551,Sd,M,41,Sd
LC-2019-0041573,Sd,F,23,Sd
LC-2019-0041573,Sd,M,23,Sd
LC-2019-0041597,Sd,SD,SD,Sd
LC-2019-0041691,Sd,M,19,Sd
LC-2019-0041708,Sd,F,32,Sd
LC-2019-0041708,Sd,M,32,Sd
LC-2019-0041708,Sd,F,57,Sd
LC-2019-0041721,Sd,SD,SD,Sd
LC-2019-0041867,Sd,M,57,Sd
LC-2019-0044699,Sd,SD,SD,Sd
LC-2019-0042071,Sd,F,57,Sd
LC-2019-0042330,Sd,M,60,Sd
LC-2019-0042727,Sd,M,31,Sd
LC-2019-0042790,Sd,F,77,Sd
LC-2019-0042849,Sd,M,43,Sd
LC-2019-0043166,Sd,M,47,Sd
LC-2019-0043366,Sd,M,37,Sd
LC-2019-0043556,Sd,M,90,Sd
LC-2019-0043780,Sd,M,38,Sd
LC-2019-0043843,Sd,M,30,Sd
LC-2019-0044108,Sd,M,56,Sd
LC-2019-0044259,Sd,F,61,Sd
LC-2019-0044259,Sd,M,61,Sd
LC-2019-0086279,Sd,M,20,Sd
LC-2019-0044828,Sd,M,33,Sd
LC-2019-0049022,Sd,F,48,Sd
LC-2019-0045068,Sd,M,24,Sd
LC-2019-0045084,Sd,M,35,Sd
LC-2019-0045246,Sd,M,30,Sd
LC-2019-0045335,Sd,M,30,Sd
LC-2019-0045664,Sd,M,SD,Sd
LC-2019-0045807,Sd,F,60,Sd
LC-2019-0045808,Sd,SD,SD,Sd
LC-2019-0045822,Sd,F,51,Sd
LC-2019-0045905,Sd,M,28,Sd
LC-2019-0046032,Sd,M,32,Sd
LC-2019-0248177,Sd,F,44,Sd
LC-2019-0046649,Sd,M,SD,Sd
LC-2019-0047039,Sd,F,50,Sd
LC-2019-0047141,Sd,M,24,Sd
LC-2019-0047216,Sd,M,21,Sd
LC-2019-0047273,Sd,M,31,Sd
LC-2019-0047289,Sd,M,59,Sd
LC-2019-0047344,Sd,M,SD,Sd
LC-2019-0047388,Sd,F,37,Sd
LC-2019-0047428,Sd,M,28,Sd
LC-2019-0047479,Sd,F,SD,Sd
LC-2019-0047621,Sd,M,SD,Sd
LC-2019-0049471,Sd,M,23,Sd
LC-2019-0055233,Sd,M,56,Sd
LC-2019-0056799,Sd,F,37,Sd
LC-2019-0058743,Sd,M,44,Sd
LC-2019-0061265,Sd,M,44,Sd
LC-2019-0061464,Sd,SD,SD,Sd
LC-2019-0047733,Sd,M,SD,Sd
LC-2019-0047752,Sd,M,53,Sd
LC-2019-0048117,Sd,M,37,Sd
LC-2019-0048277,Sd,M,36,Sd
LC-2019-0048442,Sd,F,29,Sd
LC-2019-0048531,Sd,F,SD,Sd
LC-2019-0048651,Sd,SD,SD,Sd
LC-2019-0048674,Sd,F,22,Sd
LC-2019-0048744,Sd,M,24,Sd
LC-2019-0048830,Sd,F,43,Sd
LC-2019-0049122,Sd,M,58,Sd
LC-2019-0049148,Sd,M,28,Sd
LC-2019-0049194,Sd,M,36,Sd
LC-2019-0049207,Sd,M,SD,Sd
LC-2019-0049414,Sd,M,42,Sd
LC-2019-0049638,Sd,M,SD,Sd
LC-2019-0049648,Sd,M,46,Sd
LC-2019-0049690,Sd,F,59,Sd
LC-2019-0049800,Sd,M,12,Sd
LC-2019-0049800,Sd,F,12,Sd
LC-2019-0049828,Sd,M,24,Sd
LC-2019-0049949,Sd,F,17,Sd
LC-2019-0051056,Sd,F,52,Sd
LC-2019-0051815,Sd,M,SD,Sd
LC-2019-0062792,Sd,F,46,Sd
LC-2019-0072975,Sd,M,SD,Sd
LC-2019-0073279,Sd,M,58,Sd
LC-2019-0049592,Sd,M,23,Sd
LC-2019-0049994,Sd,M,33,Sd
LC-2019-0050069,Sd,M,23,Sd
LC-2019-0050158,Sd,M,25,Sd
LC-2019-0594837,Sd,F,43,Sd
LC-2019-0128557,Sd,M,22,Sd
LC-2019-0275728,Sd,M,22,Sd
LC-2019-0073976,Sd,M,29,Sd
LC-2019-0050234,Sd,M,39,Sd
